""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:05:00 UTC+06:00,5 Min,556.0M,478.0M,13.91,11.94,556.0M,11.94,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:10:00 UTC+06:00,5 Min,567.0M,485.0M,14.17,12.12,567.0M,12.12,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:15:00 UTC+06:00,5 Min,580.0M,498.0M,14.49,12.44,580.0M,12.44,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:20:00 UTC+06:00,5 Min,589.0M,518.0M,14.72,12.96,589.0M,12.96,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:25:00 UTC+06:00,5 Min,572.0M,517.0M,14.31,12.92,572.0M,12.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:30:00 UTC+06:00,5 Min,555.0M,512.0M,13.87,12.81,555.0M,12.81,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:35:00 UTC+06:00,5 Min,545.0M,500.0M,13.63,12.50,545.0M,12.50,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:40:00 UTC+06:00,5 Min,546.0M,524.0M,13.65,13.10,546.0M,13.10,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:45:00 UTC+06:00,5 Min,526.0M,508.0M,13.15,12.71,526.0M,12.71,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:50:00 UTC+06:00,5 Min,502.0M,509.0M,12.55,12.73,509.0M,12.73,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 22:55:00 UTC+06:00,5 Min,492.0M,505.0M,12.29,12.62,505.0M,12.62,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:00:00 UTC+06:00,5 Min,489.0M,510.0M,12.23,12.74,510.0M,12.74,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:05:00 UTC+06:00,5 Min,473.0M,504.0M,11.82,12.60,504.0M,12.60,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:10:00 UTC+06:00,5 Min,452.0M,498.0M,11.29,12.45,498.0M,12.45,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:15:00 UTC+06:00,5 Min,447.0M,498.0M,11.17,12.46,498.0M,12.46,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:20:00 UTC+06:00,5 Min,422.0M,478.0M,10.54,11.94,478.0M,11.94,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:25:00 UTC+06:00,5 Min,413.0M,472.0M,10.32,11.80,472.0M,11.80,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:30:00 UTC+06:00,5 Min,387.0M,456.0M,9.66,11.41,456.0M,11.41,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:35:00 UTC+06:00,5 Min,377.0M,448.0M,9.42,11.20,448.0M,11.20,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:40:00 UTC+06:00,5 Min,372.0M,434.0M,9.30,10.86,434.0M,10.86,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:45:00 UTC+06:00,5 Min,359.0M,425.0M,8.96,10.63,425.0M,10.63,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:50:00 UTC+06:00,5 Min,333.0M,410.0M,8.32,10.26,410.0M,10.26,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 23:55:00 UTC+06:00,5 Min,328.0M,396.0M,8.21,9.91,396.0M,9.91,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:00:00 UTC+06:00,5 Min,312.0M,391.0M,7.81,9.77,391.0M,9.77,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:05:00 UTC+06:00,5 Min,313.0M,386.0M,7.82,9.64,386.0M,9.64,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:10:00 UTC+06:00,5 Min,307.0M,380.0M,7.67,9.50,380.0M,9.50,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:15:00 UTC+06:00,5 Min,284.0M,359.0M,7.10,8.96,359.0M,8.96,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:20:00 UTC+06:00,5 Min,281.0M,352.0M,7.01,8.79,352.0M,8.79,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:25:00 UTC+06:00,5 Min,277.0M,345.0M,6.92,8.62,345.0M,8.62,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:30:00 UTC+06:00,5 Min,272.0M,337.0M,6.80,8.43,337.0M,8.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:35:00 UTC+06:00,5 Min,254.0M,317.0M,6.36,7.93,317.0M,7.93,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:40:00 UTC+06:00,5 Min,241.0M,294.0M,6.01,7.36,294.0M,7.36,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:45:00 UTC+06:00,5 Min,236.0M,298.0M,5.90,7.45,298.0M,7.45,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:50:00 UTC+06:00,5 Min,219.0M,282.0M,5.48,7.04,282.0M,7.04,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 00:55:00 UTC+06:00,5 Min,210.0M,271.0M,5.25,6.77,271.0M,6.77,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:00:00 UTC+06:00,5 Min,200.0M,254.0M,4.99,6.36,254.0M,6.36,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:05:00 UTC+06:00,5 Min,211.0M,282.0M,5.28,7.05,282.0M,7.05,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:10:00 UTC+06:00,5 Min,229.0M,314.0M,5.72,7.86,314.0M,7.86,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:15:00 UTC+06:00,5 Min,244.0M,338.0M,6.10,8.45,338.0M,8.45,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:20:00 UTC+06:00,5 Min,227.0M,330.0M,5.69,8.26,330.0M,8.26,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:25:00 UTC+06:00,5 Min,218.0M,323.0M,5.44,8.08,323.0M,8.08,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:30:00 UTC+06:00,5 Min,206.0M,306.0M,5.16,7.65,306.0M,7.65,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:35:00 UTC+06:00,5 Min,202.0M,292.0M,5.05,7.30,292.0M,7.30,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:40:00 UTC+06:00,5 Min,190.0M,276.0M,4.75,6.91,276.0M,6.91,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:45:00 UTC+06:00,5 Min,197.0M,271.0M,4.92,6.79,271.0M,6.79,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:50:00 UTC+06:00,5 Min,196.0M,269.0M,4.90,6.73,269.0M,6.73,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 01:55:00 UTC+06:00,5 Min,193.0M,250.0M,4.84,6.24,250.0M,6.24,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:00:00 UTC+06:00,5 Min,193.0M,252.0M,4.83,6.29,252.0M,6.29,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:05:00 UTC+06:00,5 Min,193.0M,257.0M,4.84,6.43,257.0M,6.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:10:00 UTC+06:00,5 Min,199.0M,261.0M,4.98,6.53,261.0M,6.53,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:15:00 UTC+06:00,5 Min,195.0M,241.0M,4.86,6.03,241.0M,6.03,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:20:00 UTC+06:00,5 Min,203.0M,249.0M,5.08,6.23,249.0M,6.23,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:25:00 UTC+06:00,5 Min,209.0M,255.0M,5.23,6.38,255.0M,6.38,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:30:00 UTC+06:00,5 Min,220.0M,262.0M,5.51,6.55,262.0M,6.55,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:35:00 UTC+06:00,5 Min,228.0M,267.0M,5.71,6.66,267.0M,6.66,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:40:00 UTC+06:00,5 Min,239.0M,275.0M,5.96,6.86,275.0M,6.86,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:45:00 UTC+06:00,5 Min,246.0M,264.0M,6.16,6.61,264.0M,6.61,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:50:00 UTC+06:00,5 Min,263.0M,272.0M,6.58,6.79,272.0M,6.79,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 02:55:00 UTC+06:00,5 Min,267.0M,269.0M,6.68,6.72,269.0M,6.72,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:00:00 UTC+06:00,5 Min,276.0M,268.0M,6.90,6.71,276.0M,6.71,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:05:00 UTC+06:00,5 Min,290.0M,281.0M,7.24,7.03,290.0M,7.03,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:10:00 UTC+06:00,5 Min,301.0M,283.0M,7.52,7.08,301.0M,7.08,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:15:00 UTC+06:00,5 Min,327.0M,307.0M,8.18,7.68,327.0M,7.68,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:20:00 UTC+06:00,5 Min,354.0M,316.0M,8.85,7.90,354.0M,7.90,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:25:00 UTC+06:00,5 Min,403.0M,350.0M,10.07,8.74,403.0M,8.74,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:30:00 UTC+06:00,5 Min,471.0M,417.0M,11.77,10.43,471.0M,10.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:35:00 UTC+06:00,5 Min,538.0M,461.0M,13.45,11.52,538.0M,11.52,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:40:00 UTC+06:00,5 Min,569.0M,504.0M,14.23,12.61,569.0M,12.61,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:45:00 UTC+06:00,5 Min,568.0M,532.0M,14.21,13.29,568.0M,13.29,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:50:00 UTC+06:00,5 Min,511.0M,528.0M,12.78,13.20,528.0M,13.20,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 03:55:00 UTC+06:00,5 Min,425.0M,477.0M,10.64,11.92,477.0M,11.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:00:00 UTC+06:00,5 Min,369.0M,437.0M,9.23,10.92,437.0M,10.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:05:00 UTC+06:00,5 Min,329.0M,415.0M,8.22,10.36,415.0M,10.36,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:10:00 UTC+06:00,5 Min,324.0M,406.0M,8.10,10.15,406.0M,10.15,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:15:00 UTC+06:00,5 Min,330.0M,418.0M,8.25,10.44,418.0M,10.44,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:20:00 UTC+06:00,5 Min,321.0M,421.0M,8.02,10.53,421.0M,10.53,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:25:00 UTC+06:00,5 Min,311.0M,426.0M,7.79,10.66,426.0M,10.66,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:30:00 UTC+06:00,5 Min,298.0M,408.0M,7.46,10.21,408.0M,10.21,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:35:00 UTC+06:00,5 Min,275.0M,390.0M,6.89,9.75,390.0M,9.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:40:00 UTC+06:00,5 Min,243.0M,358.0M,6.09,8.94,358.0M,8.94,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:45:00 UTC+06:00,5 Min,220.0M,332.0M,5.51,8.29,332.0M,8.29,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:50:00 UTC+06:00,5 Min,204.0M,315.0M,5.10,7.88,315.0M,7.88,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 04:55:00 UTC+06:00,5 Min,183.0M,275.0M,4.58,6.88,275.0M,6.88,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:00:00 UTC+06:00,5 Min,146.0M,222.0M,3.65,5.55,222.0M,5.55,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:05:00 UTC+06:00,5 Min,105.0M,138.0M,2.63,3.44,138.0M,3.44,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:10:00 UTC+06:00,5 Min,94.8M,127.0M,2.37,3.18,127.0M,3.18,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:15:00 UTC+06:00,5 Min,95.5M,125.0M,2.39,3.13,125.0M,3.13,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:20:00 UTC+06:00,5 Min,90.8M,119.0M,2.27,2.98,119.0M,2.98,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:25:00 UTC+06:00,5 Min,87.2M,103.0M,2.18,2.57,103.0M,2.57,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:30:00 UTC+06:00,5 Min,83.7M,102.0M,2.09,2.56,102.0M,2.56,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:35:00 UTC+06:00,5 Min,77.6M,93.7M,1.94,2.34,93.7M,2.34,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:40:00 UTC+06:00,5 Min,81.1M,94.4M,2.03,2.36,94.4M,2.36,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:45:00 UTC+06:00,5 Min,77.6M,92.9M,1.94,2.32,92.9M,2.32,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:50:00 UTC+06:00,5 Min,72.9M,80.5M,1.82,2.01,80.5M,2.01,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 05:55:00 UTC+06:00,5 Min,78.3M,87.6M,1.96,2.19,87.6M,2.19,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:00:00 UTC+06:00,5 Min,76.3M,84.0M,1.91,2.10,84.0M,2.10,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:05:00 UTC+06:00,5 Min,83.1M,87.9M,2.08,2.20,87.9M,2.20,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:10:00 UTC+06:00,5 Min,94.2M,92.4M,2.35,2.31,94.2M,2.31,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:15:00 UTC+06:00,5 Min,101.0M,95.0M,2.53,2.38,101.0M,2.38,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:20:00 UTC+06:00,5 Min,98.3M,89.0M,2.46,2.23,98.3M,2.23,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:25:00 UTC+06:00,5 Min,106.0M,96.8M,2.66,2.42,106.0M,2.42,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:30:00 UTC+06:00,5 Min,113.0M,98.1M,2.83,2.45,113.0M,2.45,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:35:00 UTC+06:00,5 Min,120.0M,105.0M,3.01,2.63,120.0M,2.63,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:40:00 UTC+06:00,5 Min,123.0M,104.0M,3.07,2.60,123.0M,2.60,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:45:00 UTC+06:00,5 Min,120.0M,103.0M,3.01,2.58,120.0M,2.58,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:50:00 UTC+06:00,5 Min,129.0M,101.0M,3.23,2.52,129.0M,2.52,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 06:55:00 UTC+06:00,5 Min,132.0M,96.6M,3.30,2.41,132.0M,2.41,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:00:00 UTC+06:00,5 Min,147.0M,111.0M,3.68,2.77,147.0M,2.77,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:05:00 UTC+06:00,5 Min,152.0M,117.0M,3.80,2.93,152.0M,2.93,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:10:00 UTC+06:00,5 Min,165.0M,133.0M,4.13,3.32,165.0M,3.32,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:15:00 UTC+06:00,5 Min,175.0M,136.0M,4.37,3.40,175.0M,3.40,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:20:00 UTC+06:00,5 Min,177.0M,137.0M,4.43,3.41,177.0M,3.41,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:25:00 UTC+06:00,5 Min,187.0M,142.0M,4.67,3.56,187.0M,3.56,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:30:00 UTC+06:00,5 Min,187.0M,139.0M,4.68,3.48,187.0M,3.48,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:35:00 UTC+06:00,5 Min,194.0M,139.0M,4.84,3.47,194.0M,3.47,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:40:00 UTC+06:00,5 Min,205.0M,146.0M,5.13,3.66,205.0M,3.66,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:45:00 UTC+06:00,5 Min,218.0M,160.0M,5.46,3.99,218.0M,3.99,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:50:00 UTC+06:00,5 Min,232.0M,168.0M,5.81,4.20,232.0M,4.20,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 07:55:00 UTC+06:00,5 Min,231.0M,169.0M,5.77,4.23,231.0M,4.23,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:00:00 UTC+06:00,5 Min,244.0M,174.0M,6.10,4.34,244.0M,4.34,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:05:00 UTC+06:00,5 Min,253.0M,177.0M,6.33,4.43,253.0M,4.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:10:00 UTC+06:00,5 Min,266.0M,186.0M,6.64,4.66,266.0M,4.66,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:15:00 UTC+06:00,5 Min,281.0M,207.0M,7.04,5.18,281.0M,5.18,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:20:00 UTC+06:00,5 Min,293.0M,217.0M,7.32,5.43,293.0M,5.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:25:00 UTC+06:00,5 Min,298.0M,219.0M,7.45,5.47,298.0M,5.47,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:30:00 UTC+06:00,5 Min,309.0M,231.0M,7.74,5.78,309.0M,5.78,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:35:00 UTC+06:00,5 Min,316.0M,230.0M,7.89,5.75,316.0M,5.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:40:00 UTC+06:00,5 Min,314.0M,231.0M,7.85,5.78,314.0M,5.78,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:45:00 UTC+06:00,5 Min,320.0M,235.0M,7.99,5.87,320.0M,5.87,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:50:00 UTC+06:00,5 Min,340.0M,254.0M,8.51,6.35,340.0M,6.35,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 08:55:00 UTC+06:00,5 Min,359.0M,270.0M,8.97,6.75,359.0M,6.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:00:00 UTC+06:00,5 Min,365.0M,279.0M,9.11,6.98,365.0M,6.98,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:05:00 UTC+06:00,5 Min,376.0M,292.0M,9.41,7.29,376.0M,7.29,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:10:00 UTC+06:00,5 Min,380.0M,283.0M,9.51,7.08,380.0M,7.08,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:15:00 UTC+06:00,5 Min,400.0M,300.0M,10.00,7.51,400.0M,7.51,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:20:00 UTC+06:00,5 Min,408.0M,307.0M,10.19,7.67,408.0M,7.67,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:25:00 UTC+06:00,5 Min,410.0M,302.0M,10.24,7.56,410.0M,7.56,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:30:00 UTC+06:00,5 Min,419.0M,308.0M,10.48,7.70,419.0M,7.70,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:35:00 UTC+06:00,5 Min,418.0M,306.0M,10.44,7.64,418.0M,7.64,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:40:00 UTC+06:00,5 Min,419.0M,307.0M,10.48,7.69,419.0M,7.69,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:45:00 UTC+06:00,5 Min,426.0M,323.0M,10.64,8.08,426.0M,8.08,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:50:00 UTC+06:00,5 Min,438.0M,336.0M,10.95,8.40,438.0M,8.40,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 09:55:00 UTC+06:00,5 Min,439.0M,335.0M,10.96,8.38,439.0M,8.38,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 10:00:00 UTC+06:00,5 Min,444.0M,334.0M,11.11,8.35,444.0M,8.35,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 10:05:00 UTC+06:00,5 Min,449.0M,341.0M,11.22,8.52,449.0M,8.52,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 10:10:00 UTC+06:00,5 Min,462.0M,355.0M,11.55,8.87,462.0M,8.87,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 10:15:00 UTC+06:00,5 Min,465.0M,352.0M,11.63,8.79,465.0M,8.79,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,21/06/2015 10:20:00 UTC+06:00,5 Min,468.0M,352.0M,11.70,8.80,468.0M,8.80,0,0,4.0G,100.00


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
HC03_S9306_SW_A/Vlanif601,20/06/2015 10:25:00 UTC+06:00,5 Min,428.0M,502.0M,42.82,50.20
